Tahun,Kecamatan,LuasDampak
2025,Bandar Sribhawono,768.642974
2025,Bumi Agung,569.011453
2025,Candipuro,1576.242668
2025,Kalianda,1109.946002
2025,Katibung,3807.247802
2025,Marga Tiga,2293.7023
2025,Mataram Baru,1743.829361
2025,Sekampung Udik,3229.159661
2025,Sidomulyo,4107.003294
2025,Sukadana,527.050795
2024,Bandar Sribhawono,3152.58887
2024,Bumi Agung,480.481697
2024,Labuhan Ratu,4511.342137
2024,Marga Tiga,2441.082062
2024,Mataram Baru,3624.32153
2024,Sekampung Udik,4450.103791
2024,Sukadana,7140.027989
2024,Way Jepara,6288.559266
